data_lancamento;titulo_original;cpb_roe;tipo_obra;pais_obra;publico_total;renda_total;distribuidora;registro_distribuidora;cnpj_distribuidora;ano_lancamento;mes_lancamento;dia_lancamento
2025-07-31;aldo baldin - uma vida pela música;B2400467800000;documentário;brasil;15;396.34;bretz filmes distribuidora e produtora ltda - epp;19243.0;39.079.678/0001-47;2025;7;31
2025-07-31;death of a unicorn;E2500223800000;ficção;estados unidos;245;5725.4;warner bros. (south) inc.;265.0;33.015.827/0001-28;2025;7;31
2025-07-31;guns up;E2500153200000;ficção;estados unidos;994;18646.57;diamond films do brasil produção e distribuição audiovisual ltda.;22724.0;17.095.184/0001-13;2025;7;31
2025-07-31;materialists;E2500150300000;ficção;estados unidos;37310;851099.53;columbia tristar filmes do brasil ltda;84.0;00.979.601/0001-98;2025;7;31
2025-07-31;nada;B2300179900000;ficção;brasil;238;311.31;embauba filmes ltda;23638.0;15.144.532/0001-70;2025;7;31
2025-07-31;the ritual;E2500153400000;ficção;estados unidos;14794;310744.86;sm distribuidora de filmes ltda;11922.0;08.257.054/0001-49;2025;7;31
2025-07-30;bts army: forever we are young;E2500271700000;vídeomusical;coréia do sul;2273;74580.61;united cinemas international brasil ltda.;749.0;01.289.530/0001-64;2025;7;30
2025-07-28;o deserto de akin;B2500117300000;ficção;brasil;364;4703.48;retrato filmes ltda;40992.0;31.296.141/0001-27;2025;7;28
2025-07-24;in the blind spot;E2500205000000;ficção;alemanha;368;7122.48;providence distribuidora de filmes ltda;12443.0;08.656.129/0001-64;2025;7;24
2025-07-24;monsieur aznavour;E2500146000000;ficção;frança;5036;117626.57;tag cultural distribuidora de filmes ltda;173.0;03.599.148/0001-82;2025;7;24
2025-07-24;quelques jours pas plus;E2500280700000;ficção;frança;805;14881.36;o2 produções artísticas e cinematográficas ltda.;63.0;67.431.718/0001-03;2025;7;24
2025-07-24;the fantastic four: first steps;E2500247600000;ficção;estados unidos;1817536;38680764.21;the walt disney company (brasil) ltda.;18398.0;73.042.962/0001-87;2025;7;24
2025-07-24;the penguin lessons;E2500109100000;ficção;espanha;6037;133116.7;diamond films do brasil produção e distribuição audiovisual ltda.;22724.0;17.095.184/0001-13;2025;7;24
2025-07-24;thiago & ísis e os biomas do brasil;B2400521200000;documentário;brasil;2;20.0;kompanhia teatro multimídia de são paulo;57643.0;60.740.149/0001-39;2025;7;24
2025-07-24;um lobo entre os cisnes;B2400495700000;ficção;brasil;4939;58992.81;vitrine filmes ltda;16713.0;11.620.976/0001-83;2025;7;24
2025-07-23;roger waters this is not a drill live from prague – the  movie;E2500232700000;vídeomusical;inglaterra;3789;120638.5;united cinemas international brasil ltda.;749.0;01.289.530/0001-64;2025;7;23
2025-07-17;ado special live “shinzou” in cinema;E2500181000000;vídeomusical;japão;1782;42455.21;cinecolor do brasil ltda;2631.0;05.332.959/0001-48;2025;7;17
2025-07-17;cazuza: boas novas;B2500016100000;documentário;brasil;7061;128459.55;kaja filmes ltda;60300.0;57.302.423/0001-83;2025;7;17
2025-07-17;cazuza: boas novas;B2500016100000;documentário;brasil;15;140.0;kompanhia teatro multimídia de são paulo;57643.0;60.740.149/0001-39;2025;7;17
2025-07-17;cloud;E2500023300000;ficção;japão;4804;87573.09;o2 produções artísticas e cinematográficas ltda.;63.0;67.431.718/0001-03;2025;7;17
2025-07-17;filhos do mangue;B2400337800000;ficção;brasil;605;9273.74;bretz filmes distribuidora e produtora ltda - epp;19243.0;39.079.678/0001-47;2025;7;17
2025-07-17;i know what you did last summer;E2500150200000;ficção;estados unidos;355466;7007182.31;columbia tristar filmes do brasil ltda;84.0;00.979.601/0001-98;2025;7;17
2025-07-17;reflection in a dead diamond;E2500248400000;ficção;frança;3550;69937.02;providence distribuidora de filmes ltda;12443.0;08.656.129/0001-64;2025;7;17
2025-07-17;sight;E2500092400000;ficção;estados unidos;1786;38526.18;sm distribuidora de filmes ltda;11922.0;08.257.054/0001-49;2025;7;17
2025-07-17;smurfs;E2500232800000;animação;estados unidos;1051755;19750416.52;paramount pictures brasil distribuidora de filmes ltda;169.0;27.654.722/0001-16;2025;7;17
2025-07-17;une vie rêvée;E2500146500000;ficção;frança;1059;21706.65;tag cultural distribuidora de filmes ltda;173.0;03.599.148/0001-82;2025;7;17
2025-07-10;emmanuelle;E2500142200000;ficção;estados unidos;3122;60862.91;tag cultural distribuidora de filmes ltda;173.0;03.599.148/0001-82;2025;7;10
2025-07-10;shadow force;E2500133400000;ficção;estados unidos;5052;108225.54;sm distribuidora de filmes ltda;11922.0;08.257.054/0001-49;2025;7;10
2025-07-10;superman;E2500221500000;ficção;estados unidos;3737773;80429459.44;warner bros. (south) inc.;265.0;33.015.827/0001-28;2025;7;10
2025-07-10;vermiglio;E2500227700000;ficção;itália;8274;173196.75;synapse brazil licenciamento de direitos audiovisuais ltda;277.0;02.185.369/0001-41;2025;7;10
2025-07-10;yõg ãtak: meu pai, kaiowá;B2500275300000;documentário;brasil;364;4072.65;embauba filmes ltda;23638.0;15.144.532/0001-70;2025;7;10
